NUM_LOOP,FREQ,EVAL_BITS,REP_BITS,BOARD_NUM
0,110274,20,6,0
1,26,20,6,0
2,120999,20,6,0
3,39,20,6,0
4,30,20,6,0
5,1250083,20,6,0
6,31,20,6,0
7,55,20,6,0
8,27,20,6,0
9,39,20,6,0
10,41,20,6,0
11,14,20,6,0
12,32,20,6,0
13,233942,20,6,0
14,16,20,6,0
15,32,20,6,0
16,222,20,6,0
17,12,20,6,0
18,31,20,6,0
19,21,20,6,0
20,14,20,6,0
21,14,20,6,0
22,22,20,6,0
23,16,20,6,0
24,66,20,6,0
25,7837,20,6,0
26,89,20,6,0
27,38,20,6,0
28,42,20,6,0
29,13,20,6,0
30,75,20,6,0
31,16,20,6,0
32,13,20,6,0
33,49908,20,6,0
34,3684859,20,6,0
35,15,20,6,0
36,21,20,6,0
37,1863325,20,6,0
38,131,20,6,0
39,544,20,6,0
40,13,20,6,0
41,25,20,6,0
42,165,20,6,0
43,51,20,6,0
44,39,20,6,0
45,11028,20,6,0
46,125,20,6,0
47,4591,20,6,0
48,549552,20,6,0
49,24,20,6,0
50,20,20,6,0
51,30,20,6,0
52,37,20,6,0
53,20,20,6,0
54,29,20,6,0
55,13,20,6,0
56,284,20,6,0
57,32,20,6,0
58,821130,20,6,0
59,33,20,6,0
60,39,20,6,0
61,11,20,6,0
62,17,20,6,0
63,17,20,6,0
64,28,20,6,0
65,50,20,6,0
66,178,20,6,0
67,12,20,6,0
68,22,20,6,0
69,99707,20,6,0
70,50,20,6,0
71,841233,20,6,0
72,68,20,6,0
73,21,20,6,0
74,83,20,6,0
75,21,20,6,0
76,159,20,6,0
77,6059,20,6,0
78,57,20,6,0
79,28,20,6,0
80,57,20,6,0
81,16,20,6,0
82,19,20,6,0
83,51,20,6,0
84,195,20,6,0
85,77243,20,6,0
86,192,20,6,0
87,16,20,6,0
88,41,20,6,0
89,61,20,6,0
90,168,20,6,0
91,841470,20,6,0
92,175,20,6,0
93,10,20,6,0
94,10,20,6,0
95,55,20,6,0
96,45,20,6,0
97,2330,20,6,0
98,64,20,6,0
99,25,20,6,0
100,28,20,6,0
101,3142841,20,6,0
102,11,20,6,0
103,41946,20,6,0
104,22,20,6,0
105,16,20,6,0
106,169,20,6,0
107,17,20,6,0
108,159,20,6,0
109,13,20,6,0
110,36,20,6,0
111,56,20,6,0
112,32,20,6,0
113,2876605,20,6,0
114,17,20,6,0
115,64327,20,6,0
116,1902959,20,6,0
117,11,20,6,0
118,14,20,6,0
119,22,20,6,0
120,30,20,6,0
121,58,20,6,0
122,24,20,6,0
123,23098,20,6,0
124,14,20,6,0
125,1887996,20,6,0
126,19,20,6,0
127,120,20,6,0
128,60,20,6,0
129,234849,20,6,0
130,69,20,6,0
131,12,20,6,0
132,47,20,6,0
133,3708010,20,6,0
134,15,20,6,0
135,21,20,6,0
136,149,20,6,0
137,16,20,6,0
138,52,20,6,0
139,68,20,6,0
140,97,20,6,0
141,1507128,20,6,0
142,15,20,6,0
143,66,20,6,0
144,18,20,6,0
